"time","x","y","z"
17.04,10.0120934696755,7.34625661288459,30.0072495138433
17.05,9.8193658673076,6.98528494470005,29.820165614426
17.06,9.61625370712029,6.65379364389128,29.5914590381749
17.07,9.40555340711588,6.35460021934611,29.3260403490942
17.08,9.19003318340813,6.08966362645722,29.0289582850039
17.09,8.97237888069228,5.86014625963203,28.7052535654991
17.1,8.75514848487466,5.66649878973903,28.3598384597619
17.11,8.54073598769467,5.50855949430154,27.997403763497
17.12,8.33134468292294,5.38566039701278,27.622352700199
17.13,8.12896948528828,5.29673365378805,27.238759643006
17.14,7.93538749288679,5.24041298040386,26.850350477686
17.15,7.75215576301626,5.21512632832597,26.4605008552261
17.16,7.58061513070478,5.21917734231279,26.0722484311092
17.17,7.4218988521623,5.25081428589741,25.6883153544672
17.18,7.27694488205473,5.30828605291507,25.3111376488896
17.19,7.14651067345408,5.38988558396714,24.9428986235303
17.2,7.03118950367699,5.49398149002351,24.5855639918219
17.21,6.9314274618945,5.61903898025788,24.2409168991177
17.22,6.84754037261276,5.76363133371508,23.9105915325815
17.23,6.77973006348652,5.92644318170167,23.5961043855397
17.24,6.72809951010963,6.10626681439303,23.2988825658338
17.25,6.69266650071082,6.30199262088673,23.0202887739918
17.26,6.67337555843524,6.51259464120311,22.7616427385571
17.27,6.67010793805518,6.73711207065677,22.5242389921937
17.28,6.68268957860297,6.97462742608659,22.3093609141159
17.29,6.71089694540594,7.22424197037053,22.118290963074
17.3,6.75446073667382,7.48504890433952,21.9523169912367
17.31,6.81306746379102,7.75610477945449,21.8127344729016
17.32,6.8863589436069,8.03639956478345,21.700844412598
17.33,6.97392976817333,8.32482582120949,21.6179466241936
17.34,7.07532284542127,8.62014749678433,21.5653280057532
17.35,7.19002313600079,8.92096896101681,21.5442453845259
17.36,7.31744974958636,9.22570504246188,21.555902484181
17.37,7.45694661076069,9.53255302086169,21.6014205853378
17.38,7.6077719621033,9.83946774670003,21.6818025251153
17.39,7.76908704163244,10.1441413073614,21.7978898275479
17.4,7.93994435363935,10.4439889143476,21.9503129901358
17.41,8.11927604523741,10.7361429272926,22.1394352869635
17.42,8.3058830028981,11.0174571267723,22.3652908962576
17.43,8.49842538892381,11.2845234595773,22.6275187232518
17.44,8.69541543966602,11.5337034599746,22.9252939597135
17.45,8.89521343491221,11.7611763462176,23.2572601754002
17.46,9.09602780793546,11.9630053506071,23.6214655295734
17.47,9.29592038247098,12.1352231184758,24.0153074543067
17.48,9.49281767913424,12.2739359786674,24.4354908029361
17.49,9.68452911251988,12.3754455470047,24.8780048625681
17.5,9.86877268704068,12.4363845184441,25.338124672499
17.51,10.0432084857632,12.4538617290107,25.8104416467775
17.52,10.2054798323793,12.4256097783363,26.2889274691886
17.53,10.3532615045283,12.3501269038127,26.7670335628192
17.54,10.4843138139345,12.2268036306248,27.2378261602609
17.55,10.5965407872225,12.0560242374134,27.6941542370073
17.56,10.6880501358852,11.8392334892473,28.128844546407
17.57,10.7572122579513,11.5789605299431,28.5349150291085
17.58,10.8027152312719,11.2787943007014,28.9057953417514
17.59,10.8236126937382,10.9433082134422,29.2355415416004
17.6,10.8193616947645,10.5779357503129,29.5190313957167
17.61,10.7898480529928,10.188802753794,29.7521275448659
17.62,10.7353974429598,9.78252591644646,29.93179785306
17.63,10.6567713019957,9.3659898927636,30.0561855234169
17.64,10.5551476156216,8.94611715599723,30.1246255906314
17.65,10.4320876082278,8.52964499945421,30.1376087191809
17.66,10.2894902381959,8.12292293214283,30.0966973160986
17.67,10.1295370887928,7.73174134440411,30.004402332282
17.68,9.95463069917088,7.36119908208802,29.8640314311983
17.69,9.7673295666107,7.01561391829237,29.6795202795346
17.7,9.57028297768499,6.69847630712081,29.4552585777772
17.71,9.36616852686274,6.41244363598912,29.195921276564
17.72,9.15763471114822,6.15936973720055,28.906313502165
17.73,8.94725041384468,5.94036281376314,28.5912353737145
17.74,8.73746247495669,5.7558641854,28.2553704569653
17.75,8.53056194787129,5.60574027061794,27.9031993307333
17.76,8.32865910652971,5.48938082479166,27.5389378297329
17.77,8.13366682372568,5.4057974593983,27.1664980726176
17.78,7.9472916037953,5.3537176849965,26.7894694114243
17.79,7.77103132324331,5.33167098854528,26.411115913965
17.8,7.60617860249495,5.33806465164894,26.0343868416908
17.81,7.45382868640286,5.37124805986099,25.661936721773
17.82,7.31489073270286,5.4295651022805,25.2961519411361
17.83,7.1901014780895,5.51139490428303,24.939181228474
17.84,7.08004035405115,5.61518158543057,24.592967869611
17.85,6.98514524455077,5.73945401416947,24.259281971034
17.86,6.90572820346499,5.88283667227644,23.9397515118726
17.87,6.84199057278586,6.04405277799912,23.6358912862889
17.88,6.79403705708016,6.22192077831487,23.3491291277398
17.89,6.76188841208233,6.41534523464877,23.0808290236249
17.9,6.74549249396019,6.62330301506114,22.8323108785508
17.91,6.74473349058977,6.84482558703987,22.6048667750404
17.92,6.75943921801999,7.07897809222587,22.3997736216874
17.93,6.7893864158522,7.32483578788976,22.2183020805867
17.94,6.83430401664296,7.5814583673687,22.0617216382796
17.95,6.8938743990977,7.8478626286047,21.9313016369758
17.96,6.96773266536062,8.12299395058762,21.8283080246977
17.97,7.05546401179129,8.40569706492724,21.753995523476
17.98,7.15659929290668,8.69468667590496,21.7095948633909
17.99,7.27060891222559,8.98851858785816,21.6962946974282
18,7.39689521396397,9.285562142587,21.7152178091909
18.01,7.53478359796731,9.58397494818552,21.7673912650558
18.02,7.68351263852081,9.88168108747841,21.8537102580718
18.03,7.84222355662743,10.176354217825,21.9748955569763
18.04,8.00994947485634,10.4654071975377,22.1314447238782
18.05,8.18560497245459,10.7459900739732,22.3235776099066
